pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Open Water,Western,2.83,6807267.28,14329190.75,Lucienne Marien,9/11/1990,Eldridge Verchambre,12/21/1942
Faith Like Potatoes,Romance,3.37,5646290.23,14286446.86,Marie-ann Hellsdon,7/24/1991,Vidovic Thornbarrow,12/18/1977
"Fountain, The",Acción,3.91,9063988.21,23101107.16,Cointon Rentcome,1/18/1966,Letitia Aujean,2/18/1981
Camp,Romance,2.67,21678987.45,40129146.31,Diandra Daborne,12/15/1972,Georgeanna Vaughn,4/27/1987
Small Town Murder Songs,Documental,1.9,15684284.32,23082529.33,Bartram Dugan,6/12/1955,Daisie Hook,7/18/1985
Martin Lawrence: You So Crazy,Fantasía,3.46,15072095.57,20244863.3,Miltie Soppit,5/2/2012,Palmer Yuryichev,3/24/2004
Bride of Re-Animator,Ciencia ficción,1.91,11564915.22,32318257.28,Stacy Kanter,9/17/1961,Astrix Wimpress,10/9/1937
Pokémon Origins,Ciencia ficción,1.18,8551191.7,13356390.09,Cece Jesse,8/4/1931,Franzen Ramm,2/5/1990
"Architect, The",Fantasía,2.72,24045436.34,52610836.86,Wilhelmine Shires,4/20/1949,Benedicto Siddeley,3/13/1999
Best Laid Plans,Musical,1.31,28867393.7,73896618.19,Xymenes Guppie,3/8/2025,Ranna Milne,3/22/1993
Halo 4: Forward Unto Dawn,Fantasía,2.42,17079943.77,37851282.42,Dunn Agge,11/7/1930,Adelice Girardetti,2/21/2016
"Road, The",Suspense,3.44,17309879.52,24794895.25,Rene Cumberbatch,10/9/2023,Briggs Frantzeni,8/24/1969
Motivational Growth,Cine negro,2.26,21654418.88,62537631.73,Selina Tuttle,12/19/2019,Elsie Belfrage,3/15/1989
Argentina latente,Histórico,3.46,10363349.29,27338860.47,Bailey Cambden,3/25/1931,Alberta Giroldi,3/26/1976
Hothead (Coup de tête),Animación,2.77,6075987.3,11191246.99,Amerigo Dwire,12/19/1953,Anders Crown,2/2/2017
"Flat, The",Cine negro,3.97,10273202.29,21424911.91,Evin Treleven,12/16/1956,Diane Cheetham,1/16/1941
Children of Invention,Histórico,1.38,22946868.87,64605168.07,Scotty Grayham,8/13/1990,Isahella Holdall,11/7/1948
"Thing, The",Western,2.75,27983609.8,46445815.79,Rickert Reinisch,4/19/1974,Currie Alpin,12/11/1959
Pete 'n' Tillie,Misterio,3.3,24455679.07,55155938.49,Zeke Smythin,4/12/1964,Stephanus Commusso,5/22/1988
"Time Masters (Maîtres du temps, Les)",Bélico,3.71,25322749.22,36343029.33,Elvira Shakesby,5/30/1975,Viviana Janos,3/24/1982
Cat-Women of the Moon (a.k.a. Rocket to the Moon),Ciencia ficción,3.36,13363289.21,32826049.66,Carmelia Schruurs,1/5/1989,Giselle Mulholland,5/17/1966
Salaam Namaste,Terror,2.46,29472016.06,56694309.46,Celeste Duffill,11/14/2022,Amye Gracewood,3/6/1979
America's Heart and Soul,Aventura,2.96,8773662.45,19874558.37,Rex Gallihaulk,3/4/1932,Leupold Levens,7/15/1980
Fantasia 2000,Terror,2.15,5123084.54,15034496.16,Dillon Terrelly,9/11/2024,Hillary Organer,3/26/1953
Our Beloved Month of August (Aquele Querido Mês de Agosto),Musical,3.05,22037747.13,45651356.3,Garv Gennrich,6/7/1992,Gerik Dyster,1/12/2003
Startup.com,Misterio,1.23,28940597.9,53835288.28,Valeria Webb-Bowen,10/6/1950,Willamina Michurin,2/2/1945
Mark Twain,Comedia,3.76,12838187.75,26065012.16,Julina Sharland,10/20/1989,Artemis Byrkmyr,4/23/1938
Explorers,Aventura,2.99,14116264.62,41947851.81,Ermengarde Siverns,6/28/1935,Avrit Langman,11/15/1995
Dreamscape,Terror,2.29,25029715.44,65836705.19,Lucinda Whyatt,3/24/1986,Matthiew Wrought,11/3/1983
Return to the Blue Lagoon,Comedia,3.64,6510705.39,16101911.63,Andriette Woodroof,6/20/1937,Bernelle Mulryan,10/3/1930
Lethal Weapon,Histórico,3.01,21833952.7,50368959.44,Shanan Labell,12/31/2001,Belita Durston,7/6/1964
Quicksilver Highway,Suspense,2.01,7391257.21,9552675.76,Jordan Hedney,10/9/1940,Leanor Hyde,6/18/1948
Blind Beast (Môjuu),Suspense,1.86,14405186.99,33360484.99,Vail Boreland,3/31/1966,Morgun Plaice,11/24/2006
Tyler Perry's A Madea Christmas,Animación,2.75,9694305.62,14094698.72,Brennan Fairlam,9/29/1964,Ninetta Draude,3/31/1931
"Doll, The (Lalka)",Romance,2.48,20565923.33,29437570.14,Oliver Burtwistle,4/3/1940,Lenee Melan,7/14/1982
"Ballad of Jack and Rose, The",Animación,3.4,23456958.43,44801289.34,Glynn Rosenstengel,9/15/1954,Craggy Esmead,12/13/2023
My Father's Glory (La gloire de mon père),Documental,2.51,20656193.91,27492410.26,Hollyanne Delnevo,2/5/1970,Aida Leall,5/25/1988
Kiss the Bride,Documental,2.69,7072926.59,9512410.26,Oswell Ligertwood,5/4/1986,Lissi Stenbridge,8/2/1974
Father Goose,Cine negro,1.67,20103223.99,34360954.37,Brittne Vasyunichev,2/25/1946,Morty Revens,6/23/1934
Sharon's Baby,Ciencia ficción,2.38,14437977.59,28156331.23,Dorene Staddon,9/14/1978,George Murrison,5/29/1937
Sidewalks of London (St. Martin's Lane),Ciencia ficción,2.75,9968601.3,15347792.38,Ari Pickston,11/12/1935,Jesus Trayling,6/21/1970
Take Care of My Cat (Goyangileul butaghae),Suspense,1.0,17860264.4,44719751.28,Betti Boog,9/27/1999,Gustave De la Eglise,8/11/1989
Tokyo!,Terror,3.14,6847772.27,18025794.01,Margareta Nutley,7/20/1957,Carling Verny,9/5/1945
Jay Mohr: Funny for a Girl,Animación,1.12,7566620.92,12546789.85,Morey Birkwood,12/11/2025,Brena Chapell,11/25/2013
Identification of a Woman (Identificazione di una donna),Ciencia ficción,2.02,28531089.23,54816100.73,Rees Obbard,9/14/1930,Michelina Jaumet,1/7/1979
Waxworks (Das Wachsfigurenkabinett),Documental,2.59,17042706.88,35236210.74,Jeffie Chanson,8/14/1999,Bradan Brazil,6/12/2021
Hugo,Drama,2.79,28101748.28,41530946.79,Augie Bean,2/10/1973,Stuart Petruk,10/10/1964
Back to the Future Part III,Drama,2.74,16626555.38,20961463.7,Betteann Farbrother,6/16/1995,Rudd Guerreiro,7/21/1966
Asylum,Aventura,3.34,12038322.98,18845615.04,Channa Hackey,4/17/1988,Tonya Huntingdon,8/22/1943
Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika),Documental,3.67,15963549.96,38351769.11,Brigg Dupre,5/3/1973,Sergio McKie,2/9/2022
God Grew Tired of Us,Cine negro,2.67,27718597.1,53135391.61,Carroll Frisdick,11/19/1949,Madison Tomasz,1/26/2012
Clubbed,Aventura,2.51,28233270.31,43768262.82,Ki Purseglove,5/1/1994,Bard Godfree,11/26/1966
El Cid,Western,3.96,9293639.55,14260480.42,Colan McCool,4/20/2001,Marietta Rosenkranc,5/19/1996
Piranha 3DD (a.k.a. Piranha DD),Suspense,2.37,24664022.84,68179862.61,Kennett Sleit,6/26/1980,Myrtle Symmons,12/21/1973
"Bohème, La",Bélico,2.62,8083362.28,21676843.56,Tilda Macieiczyk,10/7/1968,Hermann Tinham,9/26/1974
Desperate Search,Aventura,2.61,13638483.33,19158936.48,Prescott Pengilley,6/14/1939,Sheela Woolhouse,6/17/1999
Monty Python: Almost the Truth - Lawyers Cut,Comedia,3.11,28410925.88,79462193.01,Tarra Denison,9/30/1992,Marlee Sollon,11/27/1979
Barnens ö,Romance,3.56,8824216.92,12641310.16,Velvet Wilkerson,6/18/2001,Ketty Aukland,7/28/2015
Fresh Bait (L'appât) ,Comedia,2.68,6214696.08,8347148.13,Gregg Antonelli,1/3/2007,Carter Kuban,12/16/1995
Bikini Summer,Documental,2.2,11627135.5,34666759.19,Celia Jendas,10/30/2021,Tasha Beaby,12/5/1947
Yumurta (Egg),Aventura,3.37,8109777.9,19930045.78,Truman Pidler,5/6/1978,Phedra Hackworthy,10/14/1994
Just Like Heaven,Comedia,1.35,16033482.3,41438682.99,Enrichetta Grishankov,3/11/1942,Hortensia Officer,12/2/1964
Hellraiser: Deader,Musical,1.75,14207178.29,39276568.53,Marlo Longhi,8/2/2014,Calvin McLewd,4/26/1937
Amor?,Animación,1.1,20581063.83,36928647.04,Johan McGroarty,8/1/1938,Harvey Maxwale,2/20/2016
That's Entertainment! III,Bélico,3.5,7690450.59,17451122.3,Saloma Fulger,9/19/1973,Delmar Dulling,4/12/1947
"Honest Liar, An",Acción,2.45,27607306.2,46005591.38,Lissy Curbishley,6/21/1945,Fonzie Jakov,11/6/2017
Desert Saints,Romance,3.97,14958998.48,38020447.23,Marlow Drable,10/31/1981,Malissa Nipper,1/14/1966
"Color of Pomegranates, The (Sayat Nova)",Acción,1.11,8843833.74,16420127.97,Cynthia Auchinleck,3/27/2012,Melitta Gambrell,8/23/1985
"Last Rites of Joe May, The",Misterio,2.58,8107642.52,18371035.54,Georgianne Morbey,3/31/1945,Stormy Beausang,12/16/2014
Girl of the Golden West,Acción,1.37,12476530.02,28970856.77,Link Bewshire,9/22/1974,Nealson Eddisford,5/3/1945
Cotton Mary,Aventura,1.86,29234668.84,54936548.24,Karine Warton,3/31/2024,Libbie Causton,3/7/1999
Synthetic Pleasures,Western,1.6,6002516.53,16665203.86,Bondon Scrogges,10/31/1978,Deana Cousins,11/2/1951
Illusion Of Blood,Fantasía,1.33,17600086.74,38655206.18,Kip Pietrzak,1/9/2021,Flynn Alonso,3/18/1986
"Land, The (Al-ard)",Drama,3.16,20574993.72,28962351.43,Erinn Trott,12/25/2009,Huntley Golde,11/12/2007
"Mist, The",Misterio,2.07,13859440.54,29450881.24,Ardath Vuitte,3/15/1937,Maren Areles,3/24/1933
Cry of the Banshee,Romance,3.43,13296543.04,32029441.64,Thurstan Erdely,5/19/1945,Rhoda Pyatt,4/21/1980
Jack the Giant Killer,Histórico,2.36,23892444.62,31055519.48,Eward Rarity,1/2/2006,Husain Tilsley,10/9/1997
"To Have, or Not (En avoir (ou pas))",Aventura,1.6,29974396.72,42958521.6,Galvan Harbach,2/10/1997,Hetti Renals,12/5/2020
Urbania,Western,1.96,29990008.81,45088950.99,Locke Benardet,7/8/1995,Heath Betancourt,11/1/2006
Robin Hood,Western,3.07,24412706.24,34439605.17,Abie Monaghan,4/10/2017,Abbe Mountford,10/30/1946
Diaries Notes and Sketches (Walden),Ciencia ficción,1.05,17450096.3,23608153.31,Gwendolyn Ivanov,3/5/1983,Zahara Gossart,4/9/2015
"Deadly Tower, The",Suspense,1.96,13037638.32,22433573.94,Whittaker Skippings,4/3/1949,Gail Santora,12/27/1952
"Kiss, The",Terror,2.23,13624175.24,32180753.45,Derward Bennellick,6/20/2009,Curt Attac,9/13/1991
California Dreamin' (Nesfarsit),Drama,1.52,12246012.82,25270257.78,Ernst Ville,5/14/1974,Athena McGinlay,10/28/2010
Sleepaway Camp,Drama,2.69,7351061.48,11167008.36,Garvy Kensit,8/16/2007,Eugene Cartmell,10/8/2005
"Big House, The",Histórico,2.87,10277854.55,21765044.48,Lisette Parsons,8/29/1944,Aliza Turner,6/29/1963
Queen Bee,Terror,2.62,26673787.94,67899782.21,Thia Gwin,6/8/2023,Pooh Goward,12/4/1966
Dead Set,Ciencia ficción,2.14,23239238.58,34783778.31,Germain Drewet,8/27/1947,Emory Yarnell,7/3/1998
Head Over Heels (De Pernas pro Ar),Acción,2.21,28207831.2,69167935.4,Alan Gheeraert,9/25/1948,Alia Huegett,10/15/2019
Nightmare Alley,Suspense,3.03,27518656.22,73497362.5,Bonnee Bosma,5/5/1954,Ricardo Messiter,9/23/1966
Turtles Can Fly (Lakposhtha hâm parvaz mikonand),Fantasía,2.26,22242667.53,63755096.54,Israel Medcalf,11/5/1966,Pooh Schoenfisch,11/13/2022
Laurel Canyon,Drama,2.3,29800354.28,66054349.16,Mindy Gerardin,5/3/2004,Kort Hatliffe,6/2/1930
Jesse Stone: Sea Change,Bélico,3.25,12377084.83,30713270.13,Eunice Woodroofe,1/15/1999,Maxi Fawlkes,9/2/1997
Horsemen,Comedia,1.26,6049525.87,13705464.62,Ruthanne Summergill,2/8/1996,Tucky Bollis,4/23/1978
Night at the Museum: Battle of the Smithsonian,Cine negro,2.23,26965214.89,54009237.49,Hunter Merryfield,3/24/1932,Izabel Langtree,2/27/1957
"Kingdom, The (Riget)",Terror,2.72,12761041.17,22020624.01,Carney Farnall,9/27/1968,Nanci Benz,12/4/1937
Looking for Eric,Histórico,2.17,26919466.38,58559164.47,Anallese Chetwynd,1/14/1956,Burg Fursey,2/17/1947
No One Knows About Persian Cats (Kasi az gorbehaye irani khabar nadareh),Histórico,2.73,7443529.18,12241767.79,Emmanuel Pfeffer,4/14/1934,Orazio Arnaldo,3/12/1932
"Woman, The",Animación,1.42,18834886.04,38794868.38,Daryl Clague,3/10/1945,Lilia Render,3/23/1943
